raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sh688808,688808,sh,联讯仪器,2265.99,-2.42,4.07,0.76,851.46,79.31,0.49,5.94,5.33,31.75,2667.45,1762500000.0,232642000000.0,43725000000.0
sh688498,688498,sh,源杰科技,1541.0,-2.9,2.78,0.89,538.85,77.84,-3.39,8.9,4.62,36.04,248.09,5280040000.0,191855000000.0,189377000000.0
sh600519,600519,sh,贵州茅台,1304.66,2.5,0.39,1.13,20.03,6.49,0.89,-3.28,1.18,0.51,-3.3,6299790000.0,1630931000000.0,1630931000000.0
sh688826,688826,sh,C频准,979.0,3.33,21.56,0.0,235.26,17.52,423.87,423.87,423.87,423.87,423.87,1524340000.0,39160000000.0,7458000000.0
sh688256,688256,sh,寒武纪,969.05,-6.37,2.75,1.28,182.89,44.86,-16.17,-13.79,-21.92,-26.03,6.63,16886550000.0,609391000000.0,609391000000.0
sz300308,300308,sz,中际旭创,870.22,-7.72,3.51,1.34,49.77,25.54,-13.07,0.65,-19.2,-25.06,42.89,34491670000.0,1017926000000.0,965890000000.0
sz002371,002371,sz,北方华创,707.9,-0.91,1.07,0.96,92.13,13.26,-7.58,-6.86,-8.06,12.52,54.46,5527090000.0,513714999999.99994,513305000000.0
sh688072,688072,sh,拓荆科技,684.13,1.58,2.08,0.91,91.42,15.64,-4.85,-6.03,-13.61,9.0,107.52,4033590000.0,198862000000.0,193399000000.0
sh688802,688802,sh,沐曦股份-U,664.0,-5.14,5.16,0.81,-405.12,20.28,-15.52,-7.13,-20.02,-1.78,14.46,640870000.0,265666000000.0,12303000000.0
sh688836,688836,sh,C宇树-W,603.08,-10.31,27.02,0.0,417.51,27.73,299.92,299.92,299.92,299.92,299.92,5015550000.0,243923999999.99997,18145000000.0
sh688795,688795,sh,摩尔线程-U,527.66,-2.81,3.21,0.82,-334.52,20.37,-10.57,-8.07,-12.91,-17.94,-10.25,512350000.0,248015000000.0,15949000000.0
sz300757,300757,sz,罗博特科,496.4,-1.63,2.99,0.69,-1052.0,51.18,-6.52,1.68,16.22,-22.35,112.77,2406970000.0,83201000000.0,80698000000.0
sh688627,688627,sh,精智达,465.29,-4.02,4.64,0.76,522.98,24.5,-14.15,0.49,-8.77,26.86,108.31,2044450000.0,43797000000.0,43797000000.0
bj920045,920045,bj,蘅东光,450.5,12.21,12.23,2.14,92.02,32.19,14.2,32.9,54.47,9.62,104.47,1565770000.0,42933000000.0,12694000000.0
sh688809,688809,sh,强一股份,438.5,-1.93,6.2,0.92,115.26,14.03,-9.96,-9.4,-7.59,0.11,71.42,700260000.0,56812000000.0,11362000000.0
