raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sh603259,603259,sh,药明康德,159.29,2.21,1.57,1.21,21.93,5.7,-4.72,-0.57,29.48,59.31,78.85,6124360000.0,475283000000.0,393969000000.0,84.2,98.0,46.0,99.8,74.4,95.9,99.2,中期趋势靠前、成交活跃、量比与换手适中
sz000703,000703,sz,恒逸石化,18.59,-2.26,2.01,1.05,11.97,2.38,6.41,6.23,21.5,44.73,73.33,1423000000.0,71043000000.0,70686000000.0,81.3,94.5,79.2,93.5,74.2,32.0,87.0,中期趋势靠前、估值相对占优、成交活跃
sh601919,601919,sh,中远海控,17.07,-2.01,0.63,1.29,10.4,1.14,4.66,10.27,10.63,18.38,15.81,1359630000.0,260627000000.0,214340000000.0,80.9,81.2,95.0,92.5,68.8,35.6,97.8,中期趋势靠前、估值相对占优、成交活跃
sh601233,601233,sh,桐昆股份,24.18,-1.31,1.22,1.49,17.33,1.44,1.09,1.21,14.06,22.43,41.49,704930000.0,57524000000.0,57420000000.00001,79.8,87.2,84.2,80.9,77.9,45.6,84.4,中期趋势靠前、估值相对占优、成交活跃
sh600737,600737,sh,中粮糖业,14.85,2.13,3.06,1.11,32.08,2.91,-1.53,13.19,26.06,7.22,-11.97,982720000.0,31762000000.0,31762000000.0,77.5,83.0,51.6,88.6,83.8,94.7,68.9,中期趋势靠前、成交活跃、量比与换手适中
sh601939,601939,sh,建设银行,10.73,0.66,0.77,1.2,8.21,0.8,2.88,4.89,0.85,8.64,18.21,789670000.0,2806972000000.0,102940000000.00002,77.3,58.4,98.4,83.5,67.9,73.7,100.0,估值相对占优、成交活跃、市值稳定性较高
sz000651,000651,sz,格力电器,41.73,0.68,0.5,1.14,8.01,1.54,4.17,2.94,2.28,6.75,6.39,1158510000.0,233746999999.99997,230433000000.0,76.5,59.2,92.2,89.8,64.4,74.0,97.4,估值相对占优、成交活跃、市值稳定性较高
sz002648,002648,sz,卫星化学,26.78,0.79,0.69,0.85,10.26,2.37,-0.19,3.2,8.69,14.88,55.87,623250000.0,90212000000.0,90154000000.0,76.1,76.0,81.2,77.6,59.4,75.6,90.0,中期趋势靠前、估值相对占优、成交活跃
sh601872,601872,sh,招商轮船,18.77,-1.21,0.81,0.91,19.16,3.52,4.39,13.9,15.94,22.84,115.01,1244980000.0,151559000000.0,151559000000.0,75.8,88.6,60.9,90.9,61.7,47.0,94.5,中期趋势靠前、成交活跃、市值稳定性较高
sz002768,002768,sz,国恩股份,61.46,2.35,2.34,1.16,27.19,4.05,-7.69,4.42,29.44,43.3,72.98,352740000.0,26833000000.0,15504000000.0,75.7,96.7,47.2,61.2,79.3,97.9,64.0,中期趋势靠前、量比与换手适中
