raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sh688808,688808,sh,联讯仪器,2206.98,-2.6,1.9,0.72,829.29,77.25,-6.96,7.03,19.3,35.5,2595.38,815640000.0,226583000000.0,42586000000.0
sh688498,688498,sh,源杰科技,1550.01,0.58,1.7,1.11,542.0,78.29,-3.93,14.73,26.43,44.4,250.13,3214690000.0,192977000000.0,190484000000.0
sh600519,600519,sh,贵州茅台,1305.15,0.04,0.1,0.68,20.04,6.49,0.55,-3.07,-1.12,1.84,-3.26,1650970000.0,1631544000000.0,1631544000000.0
sh688256,688256,sh,寒武纪,998.59,3.05,1.28,1.13,188.46,46.23,-14.1,-8.44,-11.47,-19.34,9.89,8004730000.0,627967000000.0,627967000000.0
sh688826,688826,sh,频准激光,961.67,-1.77,13.99,0.7,231.1,17.21,-16.52,414.59,414.59,414.59,414.59,1043120000.0,38467000000.0,7326000000.000001
sz300308,300308,sz,中际旭创,842.75,-3.16,1.64,1.22,48.2,24.73,-14.71,-4.98,-7.19,-25.42,38.38,15528060000.0,985794000000.0,935400000000.0
sz002371,002371,sz,北方华创,693.5,-2.03,0.7,1.24,90.26,12.99,-10.75,-7.05,-3.01,17.72,51.31,3511240000.0,503264999999.99994,502864000000.00006
sh688802,688802,sh,沐曦股份-U,651.04,-1.95,2.74,0.99,-397.21,19.89,-15.46,-7.38,-13.43,2.11,12.23,332280000.0,260481000000.0,12063000000.0
sh688072,688072,sh,拓荆科技,643.14,-5.99,1.43,1.27,85.95,14.7,-14.87,-8.12,-9.42,10.31,95.09,2629680000.0,186947000000.0,181811000000.0
sh688836,688836,sh,C宇树-W,603.53,0.07,12.63,0.0,417.82,27.75,300.22,300.22,300.22,300.22,300.22,2323350000.0,244106000000.0,18159000000.0
sh688795,688795,sh,摩尔线程-U,529.37,0.32,1.41,0.79,-335.6,20.43,-8.56,-7.45,-6.02,-11.78,-9.96,224940000.0,248819000000.0,16000000000.0
sz300757,300757,sz,罗博特科,484.05,-2.49,1.88,0.89,-1025.83,49.91,-11.43,-0.97,19.81,-18.78,107.48,1481320000.0,81131000000.0,78690000000.0
bj920045,920045,bj,蘅东光,460.0,2.11,5.16,1.48,93.96,32.86,21.89,30.89,84.73,29.98,108.78,662800000.0,43838000000.0,12962000000.0
sh688627,688627,sh,精智达,438.41,-5.78,2.83,0.96,492.77,23.09,-22.44,-1.44,-7.32,25.49,96.27,1184100000.0,41267000000.0,41267000000.0
sh688502,688502,sh,茂莱光学,420.67,-3.65,2.45,1.27,1195.37,18.85,-10.87,9.18,7.31,-2.78,5.49,536470000.0,22212000000.0,22212000000.0
sh688809,688809,sh,强一股份,413.79,-5.64,3.42,1.02,108.77,13.24,-19.31,-10.06,-7.31,-9.52,61.76,369150000.0,53610000000.0,10722000000.0
sh688025,688025,sh,杰普特,411.0,0.42,2.5,1.12,114.76,16.84,-2.14,19.83,40.73,11.4,192.15,959410000.0,39065000000.0,39065000000.0
sh688630,688630,sh,芯碁微装,407.05,-4.48,2.71,1.2,172.13,25.63,-13.61,-1.92,7.69,19.76,204.15,1453140000.0,59635000000.0,53625000000.0
sz300502,300502,sz,新易盛,401.2,-2.62,1.68,0.96,42.64,23.02,-11.28,-3.4,-1.4,-17.26,30.66,8520440000.0,559376000000.0,503202000000.00006
sh688766,688766,sh,普冉股份,397.82,-3.21,4.64,0.88,59.54,17.7,-14.78,3.46,28.33,6.64,213.02,2716410000.0,59157000000.00001,59157000000.00001
sz001309,001309,sz,德明利,396.94,-0.85,3.14,0.65,21.94,13.59,-9.24,-1.01,9.82,-33.56,71.47,2031180000.0,90043000000.0,65507000000.00001
sz301666,301666,sz,大普微-UW,394.18,-3.54,4.28,0.81,142.45,47.16,-15.43,-8.98,-10.14,-45.48,755.43,444480000.0,171948000000.0,10452000000.0
sz301377,301377,sz,鼎泰高科,392.42,-0.15,1.91,0.94,174.61,53.28,-16.68,-8.53,5.26,15.97,183.13,739950000.0,166404000000.0,38795000000.0
sh601869,601869,sh,长飞光纤,391.33,3.2,3.64,2.21,94.11,19.8,2.09,16.6,29.58,5.4,237.16,5630710000.0,323984000000.0,159012000000.0
sh603986,603986,sh,兆易创新,387.81,1.61,3.44,0.94,34.32,7.3,-11.2,-3.6,-0.72,-17.13,81.64,8752260000.0,272144000000.0,259248000000.0
sh603444,603444,sh,吉比特,383.75,0.77,0.82,0.62,12.34,4.56,0.22,-0.65,10.3,12.19,-7.95,225650000.0,27645999999.999996,27645999999.999996
