raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sh601919,601919,sh,中远海控,16.95,-0.7,0.55,1.44,10.33,1.13,2.42,9.92,9.0,17.14,14.99,1167420000.0,258794999999.99997,212833000000.0,81.5,78.4,92.3,90.1,71.5,54.3,98.2,中期趋势靠前、估值相对占优、成交活跃
sh601318,601318,sh,中国平安,55.92,1.65,0.55,1.7,6.36,0.98,7.37,6.31,2.98,6.86,-16.1,3235970000.0,1012579000000.0001,596111000000.0,81.0,59.5,96.2,98.9,68.4,87.9,99.8,估值相对占优、成交活跃、市值稳定性较高
sh600489,600489,sh,中金黄金,26.8,2.13,1.11,1.14,20.7,4.25,6.39,6.76,25.93,17.95,17.02,1435110000.0,129908000000.0,129908000000.0,80.5,90.4,50.8,93.7,69.2,94.7,93.5,中期趋势靠前、成交活跃、市值稳定性较高
sh601233,601233,sh,桐昆股份,23.87,0.67,0.93,1.36,11.01,1.34,0.67,2.31,7.09,21.04,39.67,523470000.0,56787000000.0,56683000000.00001,79.4,77.9,89.1,75.8,72.7,73.9,85.1,中期趋势靠前、估值相对占优、成交活跃
sh600909,600909,sh,华安证券,8.37,3.08,2.06,2.68,13.27,1.54,3.59,0.24,8.42,19.74,25.68,856150000.0,42053000000.0,42053000000.0,79.0,78.8,83.8,85.8,58.2,91.7,78.5,中期趋势靠前、估值相对占优、成交活跃
sh603565,603565,sh,中谷物流,12.77,1.92,2.02,2.2,13.54,2.56,11.24,18.02,22.2,17.37,30.31,534300000.0,26818000000.0,26818000000.0,78.3,89.1,71.7,76.3,68.7,91.7,63.3,中期趋势靠前、估值相对占优、成交活跃
sh601899,601899,sh,紫金矿业,35.05,4.07,1.0,1.8,13.78,4.88,8.38,5.7,10.46,13.87,4.1,7180310000.0,932004999999.9999,722093000000.0,78.1,78.5,57.1,100.0,69.7,77.6,99.6,中期趋势靠前、成交活跃、市值稳定性较高
sh600988,600988,sh,赤峰黄金,47.78,0.25,2.18,1.01,25.31,6.64,11.84,16.59,26.2,39.91,54.53,1736450000.0,90802000000.0,79502000000.0,77.7,95.8,38.0,95.3,74.7,67.9,90.3,中期趋势靠前、成交活跃、量比与换手适中
sz000703,000703,sz,恒逸石化,17.87,-2.56,1.5,1.01,11.51,2.29,-6.34,4.2,14.55,36.26,66.62,1023300000.0,68291000000.0,67949000000.0,77.6,89.8,77.2,88.9,69.3,27.7,87.1,中期趋势靠前、估值相对占优、成交活跃
sh601211,601211,sh,国泰海通,17.86,3.18,0.5,1.83,9.71,0.95,0.0,-0.89,-5.65,12.54,-11.58,1194840000.0,313998000000.0,240201000000.00003,77.2,52.9,95.1,90.7,65.1,90.3,98.7,估值相对占优、成交活跃、市值稳定性较高
sh603259,603259,sh,药明康德,158.46,-1.58,0.92,0.91,21.82,5.67,-3.38,-0.36,25.26,58.86,77.92,3622610000.0,472806000000.00006,391916000000.0,76.2,96.8,43.8,99.3,62.5,41.7,99.3,中期趋势靠前、成交活跃、市值稳定性较高
sz002237,002237,sz,恒邦股份,15.21,2.15,2.19,1.39,21.89,1.58,6.22,6.74,15.14,11.05,14.48,396300000.0,21750000000.0,18136000000.0,76.2,81.0,71.6,68.3,83.3,95.0,53.4,中期趋势靠前、估值相对占优、量比与换手适中
