raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sh600909,600909,sh,华安证券,8.34,2.71,3.19,1.59,13.22,1.53,3.22,-0.12,8.03,19.31,25.23,1329310000.0,41902000000.0,41902000000.0,85.9,83.3,80.8,89.3,91.6,97.0,78.9,中期趋势靠前、估值相对占优、成交活跃
sh601318,601318,sh,中国平安,56.13,2.04,0.99,1.18,6.38,0.99,7.78,6.71,3.37,7.26,-15.78,5886020000.0,1016382000000.0,598349000000.0,83.3,66.0,94.8,99.4,69.2,93.4,99.6,估值相对占优、成交活跃、市值稳定性较高
sz000703,000703,sz,恒逸石化,18.2,-0.76,2.89,0.74,11.72,2.33,-4.61,6.12,16.67,38.77,69.7,1981550000.0,69552000000.0,69203000000.0,82.0,93.9,72.7,94.1,74.2,53.4,87.2,中期趋势靠前、估值相对占优、成交活跃
sh601919,601919,sh,中远海控,16.99,-0.47,0.87,0.88,10.36,1.13,2.66,10.18,9.26,17.42,15.26,1856860000.0,259405000000.00003,213336000000.0,81.8,83.5,90.1,93.2,61.5,57.6,98.0,中期趋势靠前、估值相对占优、成交活跃
sh603565,603565,sh,中谷物流,12.75,1.76,2.95,1.23,13.31,2.44,11.06,17.84,22.01,17.19,30.1,782400000.0,26776000000.0,26776000000.0,81.7,91.3,69.0,81.4,85.7,89.4,65.5,中期趋势靠前、成交活跃、量比与换手适中
sz000001,000001,sz,平安银行,11.73,1.21,0.6,1.03,5.24,0.49,4.08,4.27,3.99,9.42,6.15,1363010000.0,227631000000.0,227629000000.0,81.6,70.1,99.0,90.0,62.7,81.6,97.3,中期趋势靠前、估值相对占优、成交活跃
sh601336,601336,sh,新华保险,60.98,2.73,1.24,1.6,4.3,1.54,5.76,3.65,0.1,9.58,-9.85,1564560000.0,190230000000.0,127170000000.0,80.8,62.5,88.2,91.5,76.1,96.7,96.3,估值相对占优、成交活跃、量比与换手适中
sz000783,000783,sz,长江证券,9.08,5.58,3.87,2.72,9.75,1.36,6.45,2.37,5.58,20.42,15.67,1916290000.0,50213000000.0,50213000000.0,80.2,80.0,88.1,93.8,71.5,56.0,81.9,中期趋势靠前、估值相对占优、成交活跃
sh601108,601108,sh,财通证券,8.67,3.58,1.89,1.53,13.6,1.06,2.36,3.58,5.73,10.45,0.0,752670000.0,40261000000.0,40261000000.0,80.2,74.3,86.5,80.3,82.7,84.6,77.4,中期趋势靠前、估值相对占优、成交活跃
sh601899,601899,sh,紫金矿业,34.47,2.35,1.53,1.05,13.55,4.8,6.59,3.95,8.64,11.99,2.38,10924150000.0,916582000000.0,710144000000.0,80.1,79.7,54.6,99.9,70.5,97.9,99.5,中期趋势靠前、成交活跃、量比与换手适中
sh600919,600919,sh,江苏银行,12.16,1.0,0.57,0.95,6.17,0.82,1.76,4.2,4.65,7.93,23.63,1263730000.0,223152000000.0,223152000000.0,80.1,69.2,96.9,88.5,60.7,78.6,97.2,估值相对占优、成交活跃、市值稳定性较高
sz000776,000776,sz,广发证券,21.18,3.67,1.6,2.07,10.59,1.24,3.87,0.14,0.0,14.55,-1.58,1990320000.0,165730000000.0,125048000000.0,79.9,66.3,88.6,94.2,68.3,83.3,95.3,估值相对占优、成交活跃、市值稳定性较高
sh600030,600030,sh,中信证券,27.77,2.28,1.42,1.97,10.94,1.47,2.28,0.25,-2.56,10.33,-0.86,4769450000.0,433885999999.99994,338143000000.0,79.0,57.3,85.0,98.8,69.2,96.9,99.1,估值相对占优、成交活跃、市值稳定性较高
sh601211,601211,sh,国泰海通,17.85,3.12,0.82,1.14,9.71,0.95,-0.06,-0.94,-5.71,12.48,-11.63,1950150000.0,313822000000.0,240067000000.0,78.2,54.9,93.2,94.0,66.9,91.1,98.6,估值相对占优、成交活跃、市值稳定性较高
sh601233,601233,sh,桐昆股份,23.64,-0.3,1.5,0.84,10.9,1.33,-0.3,1.33,6.06,19.88,38.33,843010000.0,56240000000.0,56137000000.0,78.2,80.7,87.0,82.1,65.5,60.0,84.6,中期趋势靠前、估值相对占优、成交活跃
sh600489,600489,sh,中金黄金,26.43,0.72,1.81,0.71,20.41,4.19,4.92,5.29,24.19,16.32,15.4,2329740000.0,128114000000.00002,128114000000.00002,77.6,91.4,46.5,95.8,65.0,74.6,93.3,中期趋势靠前、成交活跃、市值稳定性较高
sh601601,601601,sh,中国太保,31.98,1.59,0.67,0.97,5.71,1.0,5.89,4.92,0.16,4.68,-21.54,1461020000.0,307659000000.0,218904000000.0,77.2,55.7,94.9,91.2,61.9,87.0,98.4,估值相对占优、成交活跃、市值稳定性较高
