raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sh688808,688808,sh,联讯仪器,2259.0,2.26,3.51,0.77,338.95,68.46,1.71,0.49,26.33,21.45,2658.92,1502070000.0,231923999999.99997,43590000000.0
sh688498,688498,sh,源杰科技,1540.01,-0.84,2.13,0.73,538.5,77.79,1.44,7.77,25.41,27.6,247.87,4045800000.0,191732000000.0,189255000000.0
sh600519,600519,sh,贵州茅台,1302.8,-0.09,0.17,0.65,20.0,6.48,-0.39,-2.99,-1.38,1.85,-3.44,2838760000.0,1628606000000.0,1628606000000.0
sh688826,688826,sh,频准激光,1024.49,6.72,28.1,1.03,231.69,17.84,8.75,448.21,448.21,448.21,448.21,2166290000.0,40980000000.0,7804000000.000001
sh688256,688256,sh,寒武纪,1020.0,0.94,1.55,0.67,192.5,47.22,-2.9,-7.72,-11.06,-21.54,12.24,9952520000.0,641431000000.0,641431000000.0
sz300308,300308,sz,中际旭创,850.9,0.58,1.97,0.7,48.66,24.97,-4.99,-7.61,-10.53,-28.6,39.72,18603940000.0,995327000000.0,944445999999.9999
sz002371,002371,sz,北方华创,700.7,0.04,1.35,1.23,89.46,12.54,-1.72,-7.8,-0.81,16.39,52.89,6824430000.0,508489999999.99994,508068000000.0
sh688072,688072,sh,拓荆科技,675.06,3.06,1.56,0.72,90.21,15.43,-2.17,-3.98,-3.68,13.33,104.77,2953410000.0,196226000000.0,190835000000.0
sh688802,688802,sh,沐曦股份-U,657.0,0.27,3.7,0.72,-400.85,20.07,-9.88,-8.15,-6.94,-0.98,13.26,453060000.0,262866000000.0,12173000000.0
sh688836,688836,sh,宇树科技-W,591.53,-1.87,18.56,0.47,409.51,27.2,-30.0,292.26,292.26,292.26,292.26,3324850000.0,239253000000.00003,17798000000.0
sz300757,300757,sz,罗博特科,528.9,7.47,5.43,1.4,-3338.49,53.25,9.5,2.53,29.17,-18.7,126.7,4620670000.0,88648000000.0,85982000000.0
sh688795,688795,sh,摩尔线程-U,526.62,-1.17,2.26,0.73,-333.86,20.33,-3.9,-8.01,-6.72,-14.57,-10.42,362720000.0,247526000000.00003,15916999999.999998
bj920045,920045,bj,蘅东光,475.0,-1.34,6.85,0.89,97.03,33.94,38.08,27.14,91.92,23.28,115.59,896970000.0,45268000000.0,13385000000.0
sh688627,688627,sh,精智达,459.75,2.48,3.97,0.71,516.76,24.21,-6.55,0.32,4.42,32.12,105.83,1709030000.0,43275000000.0,43275000000.0
sh688809,688809,sh,强一股份,441.32,4.65,6.75,1.12,116.0,14.12,-5.12,-7.09,-2.27,-9.47,72.53,768160000.0,57177000000.0,11435000000.0
sh688630,688630,sh,芯碁微装,430.6,3.76,3.82,0.88,146.95,12.01,-0.78,1.2,23.06,21.88,221.75,2119190000.0,63085000000.0,56728000000.0
sh688502,688502,sh,茂莱光学,424.52,-0.61,3.43,0.97,1206.31,19.02,-7.71,4.05,23.16,-2.58,6.46,770260000.0,22415000000.0,22415000000.0
sz301717,301717,sz,超纯应材,404.0,7.5,35.08,1.24,173.37,42.43,5.48,-19.52,512.21,512.21,512.21,2437640000.0,41146000000.0,7040000000.000001
sz300502,300502,sz,新易盛,398.78,-0.52,2.73,0.8,42.38,22.88,-3.09,-6.87,-5.32,-25.16,29.87,13639970000.0,556002000000.0,500167000000.0
sh688766,688766,sh,普冉股份,397.18,-3.13,7.14,0.74,59.45,17.67,-11.19,0.65,17.34,6.76,212.52,4190160000.0,59062000000.0,59062000000.0
sz301377,301377,sz,鼎泰高科,394.6,0.51,2.42,0.65,175.58,53.58,-8.22,-12.23,9.22,14.62,184.7,940310000.0,167328000000.0,39011000000.0
sh688025,688025,sh,杰普特,392.8,-5.37,7.23,1.65,98.51,14.63,1.39,8.51,31.55,3.39,179.22,2641530000.0,37335000000.0,37335000000.0
sh603986,603986,sh,兆易创新,392.5,-0.76,4.26,0.64,34.74,7.39,-2.78,-5.0,7.82,-17.31,83.84,11159260000.0,275435000000.0,262383000000.0
sz301666,301666,sz,大普微-UW,391.0,-1.26,6.16,0.74,141.3,46.78,-6.19,-10.97,-7.01,-48.35,748.52,640810000.0,170561000000.0,10368000000.0
sz001309,001309,sz,德明利,390.69,-1.6,5.24,0.63,21.6,13.38,-0.79,-4.14,10.18,-35.52,68.77,3405330000.0,88625000000.0,64475000000.0
sh601869,601869,sh,长飞光纤,388.02,-1.64,4.6,1.3,93.32,19.63,12.49,12.31,37.89,-5.0,234.31,7504870000.0,321244000000.0,157667000000.0
sh603444,603444,sh,吉比特,386.34,0.32,1.3,0.52,12.42,4.6,0.4,0.79,2.63,14.8,-7.33,363800000.0,27832000000.0,27832000000.0
sh688027,688027,sh,国盾量子,382.75,2.45,2.23,1.31,6554.52,12.22,-1.9,-7.77,-0.58,-30.28,-24.02,687230000.0,39370000000.0,30763000000.0
sh688200,688200,sh,华峰测控,381.41,-0.34,1.82,0.89,134.75,18.94,-6.27,-7.0,5.71,51.59,198.57,1399270000.0,76586000000.0,76586000000.0
sz300750,300750,sz,宁德时代,379.0,0.6,0.49,1.04,20.63,4.7,-2.57,-3.79,-4.16,-12.37,5.59,7909040000.0,1753502000000.0,1614571000000.0
